Date,Close
24/7/2014,156.55
23/7/2014,156.8
22/7/2014,158.7
21/7/2014,159.2
18/7/2014,160.65
17/7/2014,160.35
16/7/2014,157.2
15/7/2014,153.75
14/7/2014,151.8
11/7/2014,149.8
10/7/2014,155.45
9/7/2014,154.95
8/7/2014,158.7
7/7/2014,167.05
4/7/2014,167.85
3/7/2014,169.2
2/7/2014,174.35
1/7/2014,174.8
30/6/2014,172.75
27/6/2014,171.1
26/6/2014,167.8
25/6/2014,169.5
24/6/2014,167.3
23/6/2014,167.95
20/6/2014,162.35
19/6/2014,162.9
18/6/2014,163.55
17/6/2014,167.05
16/6/2014,166
13/6/2014,163.7
12/6/2014,168.65
11/6/2014,169.35
10/6/2014,174.85
9/6/2014,171.2
6/6/2014,171.1
5/6/2014,154.05
4/6/2014,153
3/6/2014,150.3
2/6/2014,147.5
30/5/2014,149.1
29/5/2014,148.9
28/5/2014,156.25
27/5/2014,156.4
26/5/2014,156.45
23/5/2014,157.55
22/5/2014,155.55
21/5/2014,153.1
20/5/2014,153.45
19/5/2014,150.7
16/5/2014,144.75
15/5/2014,144.2
14/5/2014,147.3
13/5/2014,146.4
12/5/2014,144.55
9/5/2014,145
8/5/2014,142.45
7/5/2014,144.6
6/5/2014,145.1
5/5/2014,146.7
2/5/2014,148.35
30/4/2014,149.45
29/4/2014,151.3
28/4/2014,152.85
25/4/2014,152.95
23/4/2014,156.1
22/4/2014,157.85
21/4/2014,156.15
17/4/2014,157.45
16/4/2014,150.5
15/4/2014,153.05
11/4/2014,152.75
10/4/2014,153.1
9/4/2014,154.4
7/4/2014,151.45
4/4/2014,152.2
3/4/2014,151.55
2/4/2014,153.5
1/4/2014,154.25
31/3/2014,150.05
28/3/2014,148
27/3/2014,141.8
26/3/2014,142.75
25/3/2014,142.9
24/3/2014,142.85
22/3/2014,143.65
21/3/2014,143.4
20/3/2014,141.4
19/3/2014,141.3
18/3/2014,143.15
14/3/2014,142.7
13/3/2014,142.55
12/3/2014,145.65
11/3/2014,145.15
10/3/2014,143.8
7/3/2014,143.3
6/3/2014,142.55
5/3/2014,140.9
4/3/2014,140.4
3/3/2014,135.95
28/2/2014,139.7
26/2/2014,139.8
25/2/2014,141.2
24/2/2014,142.7
21/2/2014,142
20/2/2014,141.1
19/2/2014,140.35
18/2/2014,140.2
17/2/2014,138.9
14/2/2014,140.55
13/2/2014,141.75
12/2/2014,144.05
11/2/2014,144.85
10/2/2014,143.6
7/2/2014,143.35
6/2/2014,141.15
5/2/2014,143.05
4/2/2014,143.15
3/2/2014,140.7
31/1/2014,141
30/1/2014,140.45
29/1/2014,142.15
28/1/2014,138.95
27/1/2014,141.35
24/1/2014,144.25
23/1/2014,148.2
22/1/2014,149.85
21/1/2014,147.85
20/1/2014,148.3
17/1/2014,146.2
16/1/2014,149.05
15/1/2014,152.05
14/1/2014,152.05
13/1/2014,152.9
10/1/2014,155.95
9/1/2014,157.25
8/1/2014,157.1
7/1/2014,156.5
6/1/2014,156.8
3/1/2014,156.35
2/1/2014,154.95
1/1/2014,160.5
31/12/2013,160.45
30/12/2013,159.8
27/12/2013,158.05
26/12/2013,161.05
24/12/2013,157.25
23/12/2013,154.7
20/12/2013,153.1
19/12/2013,147.5
18/12/2013,148.2
17/12/2013,144.75
16/12/2013,143.45
13/12/2013,145.15
12/12/2013,146.75
11/12/2013,147
10/12/2013,147.45
9/12/2013,146.7
6/12/2013,146.2
5/12/2013,146.65
4/12/2013,145.55
3/12/2013,146.8
2/12/2013,149.3
29/11/2013,148.9
28/11/2013,147.65
27/11/2013,145.05
26/11/2013,145.5
25/11/2013,142.4
22/11/2013,141.8
21/11/2013,143.65
20/11/2013,145.35
19/11/2013,144.55
18/11/2013,147.7
14/11/2013,143.95
13/11/2013,144.3
12/11/2013,154.55
11/11/2013,156.55
8/11/2013,160.1
7/11/2013,160.35
6/11/2013,163.55
5/11/2013,167.6
3/11/2013,169.5
1/11/2013,167.7
31/10/2013,164
30/10/2013,165
29/10/2013,162.4
28/10/2013,163.25
25/10/2013,163.85
24/10/2013,165.45
23/10/2013,158.75
22/10/2013,161.85
21/10/2013,159.6
18/10/2013,164.2
17/10/2013,162
15/10/2013,158.05
14/10/2013,159.45
11/10/2013,160.05
10/10/2013,160.15
9/10/2013,155.55
8/10/2013,155.8
7/10/2013,156.2
4/10/2013,153
3/10/2013,155.2
1/10/2013,149.8
30/9/2013,143.85
27/9/2013,146.2
26/9/2013,145.95
25/9/2013,145.9
24/9/2013,143.15
23/9/2013,144.9
20/9/2013,149
19/9/2013,150.55
18/9/2013,147.65
